'Syst.',30-50,50-70,70-90,90-110,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400,400-500
'Electron_energy_scale',0.24151,0.22945,-0.0829,0.01642,0.11395,0.12752,-0.02176,0.03583,0.00171,0.06972,0.09999,0.04214,0.04925
'Electron_energy_resolution',0.65252,0.56043,0.37571,0.45071,0.4112,0.30889,0.30615,0.39318,0.24214,0.28795,0.18315,0.21152,0.10168
'Electron_identification_eff.',-1.29805,-1.19406,-1.36673,-1.37615,-1.41958,-1.5295,-1.73813,-1.76792,-1.98239,-2.22364,-2.34102,-2.47613,-2.65308
'Electron_isolation_eff.',-0.47187,-0.48919,-0.73131,-0.59263,-0.45973,-0.61988,-0.85518,-0.8562,-1.12102,-1.31233,-1.45805,-1.65321,-1.76462
'Electron_reconstruction_eff.',-0.52931,-0.57252,-0.82344,-0.6488,-0.64259,-0.69376,-0.70428,-0.74362,-0.88896,-0.90101,-0.83149,-0.91857,-0.95309
'Electron_trigger_eff.',-0.08373,0.10082,-0.14305,-0.05403,-0.00641,-0.07311,-0.09154,-0.04538,-0.13278,-0.07943,-0.02011,-0.00177,-0.05323
'JES_Flavor_Composition',-0.33199,-0.08426,-0.53182,-0.54563,-0.41954,-0.32943,-0.23973,-0.26744,-0.13277,-0.22244,-0.27172,-0.40475,-0.8835
'JES_Flavor_Response',2.97461,2.31243,1.65349,1.67698,1.51859,1.36187,0.94652,0.96945,0.92628,0.57651,1.07786,0.56695,0.28354
'Top_cross_section',-0.06592,-0.19396,-0.30119,-0.34909,-0.36089,-0.35849,-0.33079,-0.29393,-0.28161,-0.26964,-0.29545,-0.23633,-0.28702
'Diboson_cross_section',-0.0707,-0.09185,-0.0875,-0.0869,-0.09608,-0.12966,-0.20417,-0.1411,-0.14395,-0.17708,-0.18493,-0.21161,-0.30007
'$W\to\ell\nu$_cross_section',-0.00059,-0.00038,-0.00031,-0.00049,-0.00041,-0.00072,-0.00031,-0.00096,-0.00134,-0.0018,-0.00286,-7.00E-05,0.00013
'$Z\to\tau\tau$_cross_section',-0.00116,-0.00126,-0.00163,-0.00169,-0.00168,-0.00281,-0.00265,-0.00363,-0.00129,-0.00111,-0.00311,-0.00933,-0.00185
'Multijet',-0.63057,-0.4004,-0.36115,-0.26592,-0.31193,-0.47666,-0.25664,-0.44372,-0.31388,-0.23256,-0.27248,-0.08684,-0.40975
'Top_parton_shower',0.11057,0.13663,0.14276,0.22188,0.03491,-0.02603,-0.13869,-0.29108,-0.22104,-0.16426,-1.15804,-1.01569,-1.29479
'Top_generator',-0.11606,0.09308,0.24909,-0.28473,0.28047,0.33728,0.78376,0.09262,0.0198,-0.48609,0.1425,1.44924,0.69163
'Muon_correction_ID',0.50051,0.11081,0.2619,0.26286,0.1692,0.11517,0.09195,0.01993,0.14763,0.03941,0.01265,0.27175,0.16215
'Muon_correction_MS',0.05132,0.09011,0.00655,0.1012,0.12194,-0.02957,-0.01069,-0.00313,0.11143,0.03474,0.03453,0.05021,-0.0095
'Muon_correction_momentum_scale',0.13616,-0.1421,0.01687,0.13651,0.11963,0.03592,0.00677,-0.02922,0.09488,0.05598,0.07793,0.10028,0.0531
'Muon_eff_stat.',-0.14821,-0.37979,-0.43191,-0.29712,-0.29223,-0.38273,-0.35816,-0.38028,-0.29151,-0.36489,-0.36452,-0.35502,-0.37651
'Muon_eff_syst.',-0.45032,-0.76306,-0.7098,-0.62815,-0.71509,-0.88687,-0.8475,-0.96078,-0.98403,-1.19355,-1.36964,-1.45989,-1.68849
'Muon_eff_trigger_stat.',-0.15973,-0.27002,-0.3933,-0.38818,-0.37296,-0.45831,-0.46683,-0.522,-0.4232,-0.45798,-0.46093,-0.40034,-0.52797
'Muon_eff_trigger_syst.',-0.11076,-0.34301,-0.18419,-0.09045,-0.13683,-0.22052,-0.2136,-0.2082,-0.06558,-0.09197,-0.20266,-0.15155,-0.11189
'Muon_eff_isolation_stat.',0.08755,-0.32513,-0.14106,0.05419,-0.02662,-0.13165,-0.16257,-0.14647,-0.06618,-0.14275,-0.18653,-0.1036,-0.25884
'Muon_eff_isolation_syst.',0.00516,-0.49008,-0.45468,-0.32462,-0.37691,-0.47575,-0.45836,-0.48443,-0.40162,-0.51112,-0.45969,-0.48496,-0.57815
'Muon_eff_TTVA_stat.',-0.06784,-0.11366,-0.22918,-0.18186,-0.26485,-0.20332,-0.16371,-0.21813,-0.21538,-0.26362,-0.19424,-0.24681,-0.31245
'Muon_eff_TTVA_syst.',0.00935,-0.24158,-0.0759,-0.03936,-0.07929,-0.1584,-0.13678,-0.16732,-0.04985,-0.05748,-0.1248,-0.06085,-0.12878
'JES_Flavor_Composition',-0.44108,-0.50039,-0.40096,-0.46047,-0.53031,-0.54674,-0.34601,-0.23593,-0.02994,-0.14004,-0.42137,-0.57834,-0.93341
'JES_Flavor_Response',3.40296,2.23694,1.62972,1.57779,1.45004,1.23754,0.84899,0.85992,0.99451,0.78095,0.64993,0.48168,0.23128
'Top_cross_section',-0.06247,-0.17247,-0.28602,-0.34906,-0.3546,-0.34475,-0.33167,-0.27555,-0.23518,-0.25269,-0.25894,-0.24312,-0.28286
'Diboson_cross_section',-0.06901,-0.09127,-0.09244,-0.09406,-0.10551,-0.11498,-0.1212,-0.12644,-0.14535,-0.17728,-0.23102,-0.2458,-0.2693
'$W\to\ell\nu$_cross_section',-0.00034,-7.00E-05,-3.00E-05,-0.00019,-0.00045,-8.00E-05,-0.00014,-0.00041,-0.0018,-0.0009,0.00016,-0.00025,-0.00386
'$Z\to\tau\tau$_cross_section',-0.00085,-0.00171,-0.00152,-0.00102,-0.00153,-0.00322,-0.00295,-0.00165,-0.00158,-0.00109,-0.00037,4.00E-05,-0.00034
'Multijet',-0.36476,-0.38641,-0.49772,-0.52401,-0.50229,-0.56355,-0.6004,-0.51549,-0.59073,-1.31487,-1.28443,-1.3255,-1.53833
'Top_parton_shower',0.10712,0.0428,0.26527,0.3818,0.00993,-0.32746,-0.29033,0.11558,-0.3523,-0.29935,-0.99877,-1.95861,-0.85509
'Top_generator',-0.20987,-0.00758,0.33542,0.79206,0.34536,-0.2292,0.14464,0.35557,-1.04216,-0.95228,-0.0801,-0.83599,-1.03124
'JES_EffectiveNP_1',-11.34645,-7.34478,-5.44577,-4.406945,-3.83889,-3.254575,-3.041135,-2.94133,-2.52422,-2.54333,-2.316675,-2.365105,-2.308565
'JES_EffectiveNP_2',2.597355,1.556235,0.579735,-0.12,-0.38736,-0.588895,-0.862925,-1.11727,-1.19255,-1.55588,-1.56285,-1.97879,-2.486875
'JES_EffectiveNP_3',-0.68475,-0.373205,-0.0575,0.453045,0.59805,0.692495,0.54229,0.819,0.965425,0.83928,1.30166,1.18152,1.424845
'JES_EffectiveNP_4',0.73407,-0.0849,-0.386865,-0.42314,-0.409245,-0.432465,-0.414755,-0.381045,-0.130225,-0.016955,0.07553,0.362695,0.53501
'JES_EffectiveNP_5',0.165315,0.375575,0.29474,0.243855,0.09947,-0.040455,-0.180995,-0.216165,-0.22605,-0.47006,-0.498505,-0.28446,-0.210545
'JES_EffectiveNP_6_restTerm',-0.013345,-0.054935,-0.052735,-0.070135,-0.178955,-0.20597,-0.239915,-0.22191,-0.13233,-0.28608,-0.32156,-0.21762,-0.479235
'JES_EtaIntercalibration_Modelling',-4.214315,-2.850035,-2.287755,-1.969055,-1.65,-1.34544,-1.42909,-1.67536,-1.009865,-1.172995,-0.969515,-1.12428,-1.598645
'JES_EtaIntercalibration_NonClosure',-0.13201,0.24288,0.074765,0.132425,0.06134,0.79035,0.420965,-0.06929,0.157935,-0.00879,0.29374,0.154955,0.02031
'JES_EtaIntercalibration_TotalStat',-1.704875,-1.55152,-1.12602,-0.9269,-0.398575,-0.456685,-1.06055,-1.44012,-0.92567,-0.594335,-0.673025,-0.598635,-0.79231
'JES_Pileup_OffsetMu',0.64833,0.417535,0.13012,0.32205,0.224735,0.12271,0.162195,0.138615,0.17714,0.069505,0.034,-0.007515,-0.187925
'JES_Pileup_OffsetNPV',-0.015275,-0.075595,-0.15652,-0.008045,0.050615,-0.01563,-0.040235,-0.039275,0.042735,-0.0694,-0.071485,-0.027995,-0.247615
'JES_Pileup_PtTerm',0.04402,-0.15352,-0.249165,-0.284105,-0.29972,-0.30257,-0.32812,-0.42468,-0.270405,-0.37292,-0.42254,-0.153375,-0.361885
'JES_Pileup_RhoTopology',-3.449455,-2.40475,-1.803065,-1.473525,-1.43947,-1.2814,-1.08305,-0.98092,-0.80777,-0.870225,-0.765825,-0.560715,-0.735115
'Jet_energy_resolution',-6.890455,-3.33352,-1.45368,-1.73091,-1.608835,-1.340245,-1.34465,-1.414195,-0.92271,-1.119855,-0.38004,-1.042525,-0.40273
'Jet_vertex_tagger',-3.058525,-1.97836,-0.986225,-0.630415,-0.53627,-0.51441,-0.480095,-0.39331,-0.31263,-0.272135,-0.218035,-0.160335,-0.178465
'Pileup',0.04586,-0.073425,-0.14485,-0.191265,0.171005,0.107665,0.457375,0.43728,0.0193,0.128355,-0.18448,0.2727,-0.105845
'Unfolding',3.032705,3.025365,3.007405,3.00493,3.00397,3.00131,3.0024,3,3.000775,3.00017,3.000975,3.00622,3.000725
'Luminosity',-2.103365,-2.151685,-2.189015,-2.20819,-2.21483,-2.220655,-2.227375,-2.20165,-2.19622,-2.20808,-2.2244,-2.21936,-2.253285
'Monte_Carlo_statistics',1.127695,0.90448,1.064295,1.26891,1.49304,1.77882,2.074765,2.315625,2.58129,3.639415,4.883315,6.274615,6.81025