#: ,30-50,50-70,70-90,90-110,110-130,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400
'Electron_energy_scale',-1.30045,0.10314,0.22981,0.21565,0.11899,-0.1115,-0.08378,0.07697,0.12434,0.05721,-0.16687,-0.24637,0.2175
'Electron_energy_resolution',0.43231,0.76451,0.63361,0.53095,0.48208,0.37576,0.40818,0.35555,0.23131,0.23528,0.10649,0.11103,0.24718
'Electron_identification_eff.',-2.50667,-1.00095,-1.22914,-1.30462,-1.57468,-1.70066,-1.87098,-1.95741,-1.92272,-2.19351,-2.29195,-2.4841,-2.59629
'Electron_isolation_eff.',-0.79103,-0.2702,-0.35033,-0.42412,-0.52938,-0.85964,-0.89687,-0.89127,-1.00633,-1.26304,-1.49756,-1.39981,-1.5904
'Electron_reconstruction_eff.',-0.81819,-0.55513,-0.72422,-0.4788,-0.5896,-0.89511,-0.81165,-0.79546,-0.83686,-0.88657,-0.90873,-1.03171,-0.94201
'Electron_trigger_eff.',-1.28923,0.01906,-0.18064,-0.08832,-0.06674,-0.20023,-0.1357,0.006,-0.09131,-0.08678,-0.1915,-0.18002,0.02291
'JES_EffectiveNP_1',-17.8597,-12.1751,-9.2335,-7.75851,-7.21732,-6.01808,-5.17707,-5.06969,-4.60831,-4.00114,-4.46796,-4.31389,-3.86094
'JES_EffectiveNP_2',4.69172,2.81564,1.71389,1.11109,0.33612,0.06242,-0.24537,-0.52358,-0.43669,-0.6937,-1.72284,-2.12717,-2.27448
'JES_EffectiveNP_3',-2.56556,-1.36059,-0.64935,0.34017,0.52995,0.08998,0.09919,0.88133,0.65738,0.40032,1.49518,1.27041,1.57163
'JES_EffectiveNP_4',0.45378,-0.21654,0.18756,0.05982,-0.40494,-0.53876,-0.56183,-0.41395,-0.12738,-0.13137,0.02276,0.32239,0.58716
'JES_EffectiveNP_5',-1.30818,0.28742,0.4315,0.42695,0.29086,0.1294,-0.0801,-0.24398,-0.03635,-0.29746,-0.52856,-0.31311,-0.1712
'JES_EffectiveNP_6_restTerm',-1.61244,-0.43108,-0.00056,0.0087,-0.15418,-0.19163,-0.21069,-0.19654,-0.17028,-0.2484,-0.64521,-0.30042,-0.43091
'JES_EtaIntercalibration_Modelling',-8.7162,-4.59636,-3.72875,-3.00023,-2.89574,-2.27272,-2.26093,-2.57995,-1.8104,-1.7267,-1.9225,-2.24749,-2.11119
'JES_EtaIntercalibration_NonClosure',-0.88734,0.55114,0.10272,-0.00512,0.03986,0.80228,0.5349,-0.05948,0.09129,-0.20966,0.55155,0.17356,0.08784
'JES_EtaIntercalibration_TotalStat',-3.68249,-2.91185,-1.93223,-1.14359,-0.91104,-0.98799,-1.40915,-1.77288,-1.21271,-0.8339,-1.30145,-1.19916,-1.0393
'JES_Flavor_Composition',-0.37252,-0.34149,-0.3272,-0.42278,-0.52803,-0.64337,-0.51814,-0.34348,-0.10681,-0.23638,-0.71383,-0.77451,-0.57904
'JES_Flavor_Response',5.48299,3.2408,2.89905,2.66452,2.42758,1.65479,1.60309,1.70272,1.63264,0.99358,1.77801,1.15084,0.59956
'JES_Pileup_OffsetMu',1.16048,0.97062,0.33805,0.44766,0.51412,0.09425,0.10791,0.16823,0.28282,0.17892,0.02632,-0.07057,-0.18236
'JES_Pileup_OffsetNPV',-0.39215,-0.65871,-0.02747,0.08453,0.09387,-0.25687,-0.32192,-0.04319,0.10821,0.02824,-0.02583,-0.34638,-0.18112
'JES_Pileup_PtTerm',0.35307,-0.39076,-0.2088,0.05636,-0.18266,-0.34895,-0.33622,-0.5049,-0.2136,-0.30334,-0.45171,-0.47847,-0.21144
'JES_Pileup_RhoTopology',-4.88824,-4.72665,-3.38313,-2.6075,-2.38416,-2.21682,-1.91287,-1.80036,-1.57472,-1.39905,-1.44884,-1.22975,-1.22378
'Jet_energy_resolution',-10.8957,-6.59888,-3.90566,-3.54905,-2.48732,-2.21257,-2.7064,-2.08976,-1.39671,-1.87993,-0.90873,-1.52575,-0.92852
'Jet_vertex_tagger',-5.67902,-3.51193,-2.12645,-1.60543,-1.45588,-1.50242,-1.33837,-1.1026,-0.9504,-0.8277,-0.81502,-0.73809,-0.52252
'Pileup',-2.04271,-0.27684,-0.69803,-0.10828,0.10177,0.15986,0.47286,0.37793,0.02504,0.22029,-0.14668,0.14184,-0.05683
'Unfolding',3.27622,3.01882,3.02886,3.00998,3.01547,3.0117,3.0279,3.00427,3.00387,3.00401,3.00044,3.00728,3.00046
'Monte_Carlo_statistics',4.19404,2.45442,2.44746,2.62014,2.82904,3.15815,3.55432,3.77162,3.92435,5.2083,6.97533,8.69597,9.30052
'Top_cross_section',-0.13583,-0.31193,-0.45754,-0.51497,-0.52958,-0.54528,-0.49715,-0.4554,-0.42886,-0.39111,-0.43381,-0.37593,-0.44231
'Diboson_cross_section',-0.09699,-0.13194,-0.13291,-0.13176,-0.14977,-0.17256,-0.17708,-0.19556,-0.2077,-0.21985,-0.23181,-0.28418,-0.45093
'$W\to\ell\nu$_cross_section',-0.00229,-0.00094,-0.00034,-9.00E-05,-0.00022,-0.00026,-0.00018,-8.00E-05,-0.00186,-0.00307,-0.00241,3.00E-05,0.00013
'$Z\to\tau\tau$_cross_section',-0.00173,-0.00052,-0.00215,-0.00071,-0.00155,-0.00283,-0.00159,8.00E-05,0.00013,-0.00266,-0.00487,-0.00026,-0.00317
'Multijet',-1.4875,-0.78091,-0.38194,-0.24571,-0.45344,-0.80373,-0.36882,-0.72884,-0.4652,-0.12491,-0.29451,-0.25663,-0.8153
'Top_parton_shower',0.04701,-0.37689,-0.08555,0.22604,-0.41085,0.08129,-0.37614,-0.92662,-0.8051,-0.02134,-1.93786,-1.98814,-2.70906
'Top_generator',-0.54473,-0.89708,-0.47606,-1.31587,-0.24673,-1.05666,-0.26971,-0.37166,-0.00687,-1.07203,0.34003,2.33894,0.28937
'Luminosity',-2.13828,-2.20955,-2.26026,-2.27885,-2.29041,-2.30416,-2.28866,-2.27993,-2.27573,-2.26861,-2.28798,-2.28319,-2.36425
'Muon_correction_ID',-0.52955,0.08675,0.12889,0.18546,0.04829,0.11377,0.04153,0.10463,0.15956,0.12419,0.09714,0.46588,0.2486
'Muon_correction_MS',0.69129,-0.24124,0.25531,0.10766,0.04436,0.13628,-0.10341,-0.03162,-0.06409,0.02587,0.01625,0.04938,0.12046
'Muon_correction_momentum_scale',0.22057,-0.03034,0.29215,0.32262,-0.09217,-0.03247,-0.04366,0.14366,0.04594,0.01654,-0.02711,0.10415,0.16116
'Muon_eff_stat.',-0.16906,-0.66536,-0.20871,-0.19998,-0.45973,-0.44749,-0.38494,-0.39091,-0.36128,-0.39703,-0.363,-0.23129,-0.37481
'Muon_eff_syst.',-0.09356,-0.89677,-0.57188,-0.53873,-0.66917,-0.83153,-0.89024,-0.88907,-1.03754,-1.21808,-1.29645,-1.37225,-1.44333
'Muon_eff_trigger_stat.',-1.26966,-0.85625,-0.25442,-0.304,-0.41333,-0.52769,-0.60895,-0.48561,-0.47812,-0.47019,-0.4219,-0.4096,-0.47274
'Muon_eff_trigger_syst.',0.15277,-0.37455,-0.04515,-0.0406,-0.23561,-0.25556,-0.22062,0.01529,-0.1048,-0.11583,-0.09095,-0.08757,-0.10192
'Muon_eff_isolation_stat.',-0.34954,-0.35718,-0.00432,-0.07864,-0.18277,-0.20305,-0.11126,-0.04426,-0.14291,-0.2372,-0.15296,-0.15117,-0.242
'Muon_eff_isolation_syst.',-0.12726,-0.46141,-0.31035,-0.53004,-0.55755,-0.5835,-0.59294,-0.43178,-0.44174,-0.47742,-0.37949,-0.60488,-0.49636
'Muon_eff_TTVA_stat.',-0.8891,-0.41367,-0.09499,-0.17723,-0.24899,-0.23313,-0.2338,-0.13568,-0.25702,-0.29014,-0.16195,-0.18719,-0.22507
'Muon_eff_TTVA_syst.',0.66983,-0.03307,-0.00142,-0.15014,-0.20464,-0.13261,-0.19459,-0.08679,-0.1798,-0.12788,-0.12942,-0.26488,-0.0445
'JES_EffectiveNP_1',-16.9881,-12.3774,-9.38437,-8.24926,-6.83949,-5.97884,-5.24203,-4.48117,-4.66965,-4.31797,-3.88116,-3.6528,-3.58149
'JES_EffectiveNP_2',5.14724,2.96444,1.87824,0.95285,0.28535,0.0696,-0.09013,-0.15241,-0.91533,-1.08739,-1.45624,-1.00675,-2.12906
'JES_EffectiveNP_3',-1.91683,-0.85158,-0.37219,-0.06682,0.03468,0.55335,0.21797,0.49294,0.8964,0.76984,1.18997,0.77349,1.58966
'JES_EffectiveNP_4',1.1563,0.25048,-0.19404,-0.37209,-0.52088,-0.37957,-0.42185,-0.31992,-0.19588,0.06994,0.05635,0.02708,0.64103
'JES_EffectiveNP_5',-0.13937,0.42495,0.57975,0.45101,0.25119,0.24978,0.03742,-0.00758,-0.26759,-0.37016,-0.48365,-0.15148,-0.09475
'JES_EffectiveNP_6_restTerm',0.11523,-0.12181,-0.08111,-0.09939,-0.20438,-0.14872,-0.27699,-0.11235,-0.11852,-0.24216,-0.42454,-0.27832,-0.47975
'JES_EtaIntercalibration_Modelling',-6.18273,-4.73843,-3.70827,-3.15341,-2.91771,-2.28091,-2.115,-2.11355,-1.96423,-1.61628,-1.71017,-1.31218,-2.01845
'JES_EtaIntercalibration_NonClosure',-0.46988,-0.41297,0.41299,0.11194,-0.26787,0.66556,0.3872,-0.08852,0.16614,0.16422,0.20238,0.18961,0.14885
'JES_EtaIntercalibration_TotalStat',-2.15102,-2.74026,-1.93001,-1.2795,-1.01697,-0.88612,-1.33119,-1.64492,-1.43568,-0.70138,-0.94776,-0.9643,-0.96179
'JES_Flavor_Composition',-0.36986,-0.76752,-0.68431,-0.73735,-0.73509,-0.52202,-0.2658,-0.14987,-0.18929,-0.08185,-0.3786,-0.55766,-0.93688
'JES_Flavor_Response',5.09202,3.93224,2.75973,2.47704,2.42582,2.14964,1.83093,1.74791,1.51426,1.43618,1.40455,0.81417,0.75713
'JES_Pileup_OffsetMu',0.63012,0.47451,0.57582,0.17832,0.21476,0.24749,0.23414,0.28502,0.23141,0.15356,0.22298,0.19014,-0.03575
'JES_Pileup_OffsetNPV',-0.54586,-0.33504,0.15676,-0.08836,-0.04885,-0.07496,-0.17784,-0.02833,-0.02233,0.06595,-0.01527,0.02877,-0.23268
'JES_Pileup_PtTerm',-0.06288,-0.443,0.25001,-0.21245,-0.42466,-0.32968,-0.28181,-0.46158,-0.42712,-0.23898,-0.49436,-0.2604,-0.49804
'JES_Pileup_RhoTopology',-5.03553,-4.14753,-2.86566,-2.6333,-2.55907,-2.24303,-1.81991,-1.52563,-1.68583,-1.22243,-1.34409,-0.76407,-1.13788
'Jet_energy_resolution',-10.5914,-5.40141,-3.94433,-2.97407,-2.67009,-2.57737,-1.12413,-2.13249,-1.74986,-1.49047,-0.78776,-1.52269,-0.83338
'Jet_vertex_tagger',-4.97994,-3.73127,-2.02044,-1.6975,-1.57431,-1.40623,-1.30045,-1.04732,-0.94078,-0.77992,-0.67139,-0.54928,-0.4955
'Pileup',1.02732,-0.81325,-0.36708,-0.31823,-0.05359,0.17711,-0.02147,0.3841,-0.00211,0.22714,-0.47257,0.1998,0.33927
'Unfolding',3.02199,3.00119,3.03641,3.00096,3.00086,3.00001,3.00006,3.00031,3.00039,3.00271,3.00082,3.0046,3.00035
'Monte_Carlo_statistics',3.89923,2.20898,2.14806,2.31745,2.50715,2.88207,3.10322,3.35059,3.55212,4.7248,6.35,7.94909,8.2126
'Top_cross_section',-0.1378,-0.29818,-0.43688,-0.50334,-0.49243,-0.47558,-0.50664,-0.38544,-0.348,-0.36255,-0.38854,-0.34081,-0.37672
'Diboson_cross_section',-0.097,-0.13154,-0.14002,-0.14076,-0.15254,-0.15894,-0.1799,-0.17402,-0.18491,-0.22403,-0.32389,-0.31992,-0.30487
'$W\to\ell\nu$_cross_section',1.00E-05,1.00E-05,-9.00E-05,-0.00031,-0.00058,-4.00E-05,0.00023,-8.00E-05,-0.00308,-0.00166,0.00024,-0.00037,-0.00586
'$Z\to\tau\tau$_cross_section',-0.00165,-0.00167,-0.0018,-0.00131,-0.00099,-0.00225,-0.00338,-0.0009,-0.00102,-0.00133,-1.00E-05,9.00E-05,2.00E-05
'Multijet',-0.61382,-0.59101,-0.65966,-0.58511,-0.57624,-0.59805,-0.69381,-0.47406,-0.7728,-1.22781,-1.37931,-1.387,-1.52111
'Top_parton_shower',0.25271,-0.1061,0.34813,0.5503,-0.57734,-1.31662,-0.65212,-0.48665,-0.51523,-0.52326,-1.2075,-3.00267,-1.84975
'Top_generator',-1.0794,-0.70555,0.12922,1.41826,0.13925,-0.99022,-0.3091,-0.83773,-2.61474,-0.56623,-0.03058,-0.75554,-2.34118
'Luminosity',-2.13799,-2.20479,-2.25534,-2.27827,-2.27853,-2.27526,-2.29343,-2.24899,-2.24119,-2.25911,-2.30093,-2.28343,-2.29286